         Part Number       Quantity   Unit Cost  Unit Price     Total Cost    Total Price
            62283911               7        15.50        21.11          108.50          147.77
            77086936              79        19.91        25.81         1572.89         2038.99
            76502369               7        12.35        16.47           86.45          115.29
            71852096              57        26.92        30.71         1534.44         1750.47
            88550476              20        21.62        24.86          432.40          497.20
            58485457               5        23.64        28.18          118.20          140.90
            37413158              28        28.57        33.34          799.96          933.52
            41555059              44        27.38        32.97         1204.72         1450.68
            58759637              78        15.20        18.21         1185.60         1420.38
            59333352              73        25.88        29.43         1889.24         2148.39
            63706075              21        15.39        21.26          323.19          446.46
            80101956              97        23.40        28.25         2269.80         2740.25
            32895121              61        28.99        32.57         1768.39         1986.77
            30174319              22        29.51        33.43          649.22          735.46
            61965647              88        24.88        29.03         2189.44         2554.64
            23026496              35        20.95        24.90          733.25          871.50
            77086674              85        18.06        23.88         1535.10         2029.80
            73638310              31        14.74        19.35          456.94          599.85
            81912584              99        26.86        31.94         2659.14         3162.06
            69730813              84        12.39        17.64         1040.76         1481.76
            44735928               9        27.18        31.76          244.62          285.84
            56886748              18        24.94        30.92          448.92          556.56
            53717044              66        16.04        20.59         1058.64         1358.94
            40749682              96        14.45        19.50         1387.20         1872.00
            81982758              56        10.68        14.84          598.08          831.04
            69855441              96        15.56        18.77         1493.76         1801.92
            22307784              99        14.22        19.97         1407.78         1977.03
            60410146              21        26.93        32.34          565.53          679.14
            79195238              21        11.38        15.86          238.98          333.06
            35342162              75        29.91        34.65         2243.25         2598.75
            53972005              43        22.81        28.51          980.83         1225.93
            26383509              27        22.91        27.15          618.57          733.05
            32216703              97        23.12        28.83         2242.64         2796.51
            32728517              82        15.43        19.58         1265.26         1605.56
            66992188              85        29.40        33.97         2499.00         2887.45
            84623811               2        15.66        20.90           31.32           41.80
            24467721               3        15.72        21.71           47.16           65.13
            49493175              39        14.55        19.03          567.45          742.17
            34171236              19        24.01        29.29          456.19          556.51
            67317709              16        10.27        15.03          164.32          240.48
            40160899              46        10.83        14.53          498.18          668.38
            83234292              26        23.80        29.24          618.80          760.24
            56827836              55        15.74        20.17          865.70         1109.35
            73831091              86        25.67        30.20         2207.62         2597.20
            56664402              75        12.40        15.93          930.00         1194.75
            24955147             100        15.08        20.76         1508.00         2076.00
            83762728              45        22.25        25.31         1001.25         1138.95
            60384491              55        28.17        32.53         1549.35         1789.15
            50295179              88        23.09        28.10         2031.92         2472.80
            38944334              93        13.73        18.51         1276.89         1721.43
            86578282              36        29.59        33.51         1065.24         1206.36
            47553915              25        19.60        25.24          490.00          631.00
            68324629               6        24.98        30.61          149.88          183.66
            39458442              23        20.49        26.06          471.27          599.38
            81138617              46        15.15        19.76          696.90          908.96
            78039357              82        16.45        22.40         1348.90         1836.80
            70178351               1        19.18        24.56           19.18           24.56
